Date,Adj Close,Price,Close,High,Low,Open,Volume
1999-03-10,43.26350877451342,43.18422317504883,43.26350877451342,42.52350984617721,43.23708024135856,5232000,
1999-03-11,43.75244182558792,43.39565658569336,43.75244182558792,42.54994342446182,43.5013707308473,9688600,
1999-03-12,43.263507233428,42.33850860595703,43.263507233428,41.994937687182095,43.23707870121454,8743600,
1999-03-15,43.60708681125085,43.554229736328125,43.60708681125085,42.20637432579856,42.655659462641744,6369000,
1999-03-16,44.10921310489071,43.92421340942383,44.10921310489071,43.2635002113278,43.73921371395694,4905800,
1999-03-17,43.97707800662879,43.607078552246094,43.97707800662879,43.47493588996656,43.924220941716975,3965000,
1999-03-18,44.47921020380807,44.452781677246094,44.47921020380807,43.54099751085787,43.55421177413886,4848400,
1999-03-19,45.03421491584522,43.31636047363281,45.03421491584522,43.28993194375262,45.03421491584522,7160400,
1999-03-22,43.60707278896659,42.78778839111328,43.60707278896659,42.70850280422425,43.50135867311455,5024800,
1999-03-23,42.70852086730254,41.28137969970703,42.70852086730254,41.20209407928506,42.54994962645859,10962400,
1999-03-24,42.70852311550648,42.68209457397461,42.70852311550648,41.01709645746662,41.65138145423157,8447000,
1999-03-25,44.24135208129883,44.24135208129883,44.24135208129883,43.05867555463328,43.34278220629037,8133800,
1999-03-26,44.37350797653198,43.76565170288086,44.37350797653198,43.58065196742182,43.87136583742888,8256200,
1999-03-29,45.377785035780256,45.351356506347656,45.377785035780256,44.02993003471748,44.29421532904352,5113800,
1999-03-30,45.66850646113006,45.03422164916992,45.66850646113006,44.84922191234821,45.29850698748665,4940600,
1999-03-31,45.82707387936691,44.37350463867188,45.82707387936691,44.24136198042687,45.7742168160689,8256600,
1999-04-01,45.72136808860539,45.29851150512695,45.72136808860539,44.558512484039696,45.66851101567058,8715800,
1999-04-05,47.00314790386337,46.93707656860352,47.00314790386337,45.74779253392606,46.03189927554345,5697200,
1999-04-06,47.54493560748142,47.029579162597656,47.54493560748142,46.48779418207883,46.8842222166048,7522400,
1999-04-07,47.571358363916765,46.540645599365234,47.571358363916765,45.5363613672381,47.46564423421917,11923600,
1999-04-08,47.13529472028705,46.91065216064453,47.13529472028705,45.50993972993233,46.46136704135948,7952400,
